ms	node_count	runner_count	node_rss_kb	runner_rss_kb	total_rss_kb
1780795600207	2	0	5184	0	5184
1780795600467	2	0	9392	0	9392
1780795600722	4	0	99296	0	99296
1780795600977	4	2	140368	62288	202656
1780795601242	4	2	140368	62288	202656
1780795601514	4	2	140368	62288	202656
1780795601798	4	2	140368	62288	202656
1780795602067	4	2	140368	62288	202656
1780795602327	2	1	70656	26128	96784
1780795602598	2	1	70656	26128	96784
1780795602862	2	1	70656	26128	96784
1780795603129	2	1	70656	26128	96784
1780795603407	2	1	70656	26128	96784
1780795603688	2	1	70656	26128	96784
1780795603955	2	1	70656	26128	96784
1780795604223	2	1	70656	26128	96784
1780795604492	2	1	70656	26128	96784
